status	path	disposition	slice	effect_class	integration_commits	evidence
M	skills/install-assistant-tools/_rtx/_fs_links.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/_google_onboarding.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/_install_launcher/_base_launcher.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/_install_scaffold.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/_install_uninstall.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/_phase_entry.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/blueprint.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/blueprints/rtx-agent-launchers.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/blueprints/rtx-config-bridge.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/blueprints/rtx-google-onboarding.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/blueprints/rtx-init.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/blueprints/rtx-install-launcher-init.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/blueprints/rtx-install-scaffold.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/blueprints/rtx-phase-entry.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/tests/install_test_utils.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/tests/test_claude_github_install.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/tests/test_codex_install.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/tests/test_google_onboarding.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/tests/test_scaffold.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/blueprint.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/blueprints/gateway.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/latex-workshop/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/latex-workshop/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/list-manager/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/list-manager/_rtx/_cloud_transport.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/list-manager/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/list-manager/_rtx/blueprints/rtx-category-cache.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/list-manager/_rtx/blueprints/rtx-init.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/list-manager/_rtx/blueprints/rtx-legacy-importer.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/list-manager/_rtx/blueprints/rtx-list-beautify.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/list-manager/_rtx/blueprints/rtx-render-bridge.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/list-manager/_rtx/blueprints/rtx-yaml-store.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/list-manager/_rtx/tests/test_skill_contract.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/list-manager/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/list-manager/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/llm-wakeup/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/llm-wakeup/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/loose-mode/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/loose-mode/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/make-tex-docstring/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/make-tex-docstring/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/math-dependency-graph/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/math-dependency-graph/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/math-dependency-graph/_rtx/blueprints/rtx-graph-builder.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/math-dependency-graph/_rtx/blueprints/rtx-graph-server.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/math-dependency-graph/_rtx/blueprints/rtx-init.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/math-dependency-graph/_rtx/blueprints/rtx-tex-macro-reader.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/math-dependency-graph/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/math-dependency-graph/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/math-dependency-graph/blueprints/instructions-extract.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/notation-review/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/notation-review/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/pdf-to-markdown/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/pdf-to-markdown/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/pdf-to-markdown/_rtx/blueprints/rtx-marker-probe.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/pdf-to-markdown/_rtx/blueprints/rtx-source-fetcher.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/pdf-to-markdown/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/pdf-to-markdown/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/prepare-handoff/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/prepare-handoff/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/proof-audit/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/proof-audit/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/_healthcheck_probe.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/_job_control.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/_job_executor.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/_run_record.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/_setup_runner.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/_unit_writer.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/jobs-config.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-ensure-agent-env.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-healthcheck-probe.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-init.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-job-control.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-job-executor.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-job-utils.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-run-record.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-schedule-backend-init.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-setup-runner.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-unit-writer.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/tests/test_job_executor.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/tests/test_schedule_backend.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/refactor-node/SKILL.md	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/refactor-node/_rtx/_closure_engine.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/refactor-node/_rtx/blueprint.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/refactor-node/_rtx/blueprints/query-standards.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/refactor-node/blueprint.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/refactor-node/blueprints/gateway.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/refactor-node/blueprints/instructions-instruction-refactoring.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/refactor-node/blueprints/instructions-python-refactoring.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/refactor-node/tests/test_query_standards.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/refactor-node/tests/test_refactor_node_routing.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/regenerate-blueprints/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/regenerate-blueprints/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/regenerate-blueprints/_rtx/blueprints/rtx-blueprint-regenerator.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/regenerate-blueprints/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/regenerate-blueprints/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-certifier/SKILL.md	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-certifier/_rtx/_node_certifier.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-certifier/_rtx/blueprint.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-certifier/_rtx/blueprints/rtx-certifier.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-certifier/_rtx/tests/test_certifier.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-certifier/blueprint.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-certifier/blueprints/gateway.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-drift/SKILL.md	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-drift/_rtx/_check_drift_state.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-drift/_rtx/blueprint.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-drift/_rtx/blueprints/rtx-check-drift-state.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-drift/_rtx/blueprints/rtx-skill-sources-init.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-drift/_rtx/tests/test_drift_check.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-drift/blueprint.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-drift/blueprints/gateway.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-maker/SKILL.md	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-maker/_rtx/_blueprint_syncer.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-maker/_rtx/blueprint.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-maker/_rtx/blueprints/rtx-blueprint-syncer.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-maker/_rtx/tests/test_blueprint_tools.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-maker/blueprint.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/skill-maker/blueprints/gateway.yaml	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/technical-flow-review/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/technical-flow-review/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/tight-mode/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/tight-mode/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/tool-applicability/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/tool-applicability/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/update-standards/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/update-standards/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/wrap-up/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/wrap-up/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/blueprint_search.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprint_authorization.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprint_graph.py	adapted	S2,S3	E03,E12	0901a75+8cb8781,dc96600+484c0d5	progress-log:S2,S3;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprint_inventory.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprint_template.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/atomic-files.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/blueprint-graph.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/blueprint-inventory.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/blueprint-template.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/certificate-records.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/certification-hashing.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/certification-view.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/codex-toml.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/dates.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/famulus-paths.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/git-provenance.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/google-credentials.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/nested-module-migration.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/oauth-json.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/pooled-blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/process-binding-compiler.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
A	src/officina/common/blueprints/repository-configuration.yaml	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/repository-paths.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/secret-store.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/standard-extractor.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/blueprints/toml-io.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/certification_hashing.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
A	src/officina/common/certification_types.py	adapted	S2,S3	E04,E12	0901a75+8cb8781,dc96600+484c0d5	progress-log:S2,S3;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/certification_view.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/configuration.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/git_provenance.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/interface_projection.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/nested_module_migration.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
